rank,trip,country,region,window,composite,tier,family_ok,boys_composite,boys_rank,boys_ok,strike_composite,strike_rank,strike_ok,pool,cost_band,min_days,booking,water_f_lo,water_f_hi,wetsuit,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,turnkey,lodging,travel,strikeability,travel_note,note
128,Noosa,Australia,Indo-Pacific,Jan–Mar,67.2,C,yes,61.9,138,no,51.4,141,no,no,$$$,10,Easy,77,81,trunks,122,132,6.5,2,8,9,6,9.5,8,9,2,2.5,BOS→BNE ~24h + 1.5h drive,"Perfect sandy points wrapping through a national park — when cyclone swell arrives, and with 200 longboarders. A glorious family beach town whose surf score is hostage to swell roulette and crowds."
129,Nova Scotia (Lawrencetown),Canada,Europe/Atlantic,Aug–Oct,67.2,C,yes,67.5,122,no,76.0,16,yes,no,$,4,Easy,58,65,3/2 Aug → 4/3 by Oct,121,132,5.5,7.5,6.5,6,7,9.5,5.5,7,8.5,9,BOS→YHZ 1.5h or drive ~12h,"Hurricane-groomed points 90 minutes' flight from Boston, nearly empty, in 4/3 water. The cold-water short-haul row the bias audit said was missing."
130,Cornwall (Newquay–St Ives),United Kingdom,Europe/Atlantic,Jun–Sep,67.2,C,yes,62.9,136,no,62.8,114,no,no,$$,5,Schools and camps plentiful; school-holiday crowds,58,64,3/2 (many wear 4/3),125,131,6.5,3.5,6,8,6,9.5,7.5,7.5,7,6.5,BOS→LHR + 5h train/drive,"The densest wetsuits-included family-surf-school industry on earth, in a lovely holiday coast — with UK summer crowds and UK summer swell."
131,Ha'atafu (Tongatapu),Tonga,Indo-Pacific,May–Oct,67.0,C,no,71.2,95,yes,58.7,133,no,no,$$$,9,"PRIMARY OPERATOR CEASED — Ha'atafu Beach Resort destroyed by the Jan 2022 tsunami, listed ceased as of 2025; verify any operator before planning",74,79,trunks or spring top,121,132,8,9,7.5,5,8,8.5,4.5,5,1.5,2.5,BOS→LAX→NAN/AKL→TBU ~26h,"Score correction (2026-08 property sweep): the resort this row's turnkey/lodging were premised on was destroyed by the Hunga Tonga tsunami and is confirmed ceased. The reef and the whales remain; the turnkey trip as modeled does not, until a new operator is verified."
132,Lakey Peak (Sumbawa),Indonesia,Indo-Pacific,May–Sep,66.0,C,no,70.0,105,yes,60.1,129,no,no,$$,10,Losmen walk-in; bring boards,77,81,trunks,129,134,9,5.5,8.5,5.5,9,7,4.5,5.5,2,4,BOS→BMU via DPS + 2h drive,A-frame perfection with a pool-bar audience at Lakey's losmen row. More surf-trip than family-trip; long haul.
133,Itacaré (Bahia),Brazil,South America,Dec–Mar,65.2,C,yes,63.3,135,no,60.3,128,no,no,$$,8,Easy,80,84,trunks,132,135,7,6.5,6,8,5.5,6,7,7,4,6,BOS→GRU→IOS + 1h drive,Warm jungle-backed coves with reliable small-to-mid surf — a lovely learn-and-longboard family spot rather than a quality strike.
134,Guadeloupe + Martinique,France (Caribbean),Caribbean,Nov–Mar,64.9,C,yes,64.7,133,no,66.4,81,no,no,$$,6,Easy; French carriers,79,83,trunks,133,135,6.5,6.5,6,6.5,6.5,7.5,5.5,7,7.5,7,BOS via SJU/MIA → PTP ~8h,Steady trade windswell reefs and a proper French-island family holiday. Quality ceiling and turnkey are the caps — the near-nonstop Caribbean depth row.
135,Florianópolis,Brazil,South America,Apr–Sep,64.8,C,yes,65.0,130,yes,61.8,122,no,no,$$,8,Easy,62,70,3/2,133,135,8,4.5,7.5,7.5,7.5,6,5,7.5,4,6,BOS→GRU→FLN ~15h,42 beaches on one island — always a working bank somewhere. Autumn/winter is consistent and less crowded; water cools to springsuit.
136,Taitung / Dulan,Taiwan,Indo-Pacific,Oct–Mar,63.6,C,yes,62.2,137,no,54.2,140,no,no,$$,8,Easy,72,79,springsuit (2mm midwinter),136,137,6.5,6.5,6,7,6,9,6,6.5,2,3.5,BOS→TPE + train/drive ~22h,"NE-monsoon windswell points on a friendly, cheap, safe coast. A pleasant B-trip shown for completeness — the audit's verdict stands."
137,Cocoa Beach (Space Coast),USA (Florida),Pacific/USA,May–Sep,63.0,C,yes,56.6,141,no,63.2,110,no,no,$,4,Easy; drive-up,79,84,trunks,136,139,5.5,4,4.5,9,4,8,7.5,7.5,8.5,8.5,"BOS→MCO ~3h + 1h drive, no passport","The shortest warm-water learner trip from New England — small, mushy, crowded, and shark-nippy, but 3 hours door to airport and surf schools everywhere. Shown, as the audit demanded, rather than silently absent."
138,Miyazaki (Kyushu),Japan,Indo-Pacific,Aug–Oct,62.5,C,yes,60.7,139,no,55.0,139,no,no,$$$,8,Easy; typhoon roulette,75,81,trunks (spring by Oct),137,139,6,5,6.5,7,6.5,9.5,6,7,2,4,BOS→HND→KMI ~20h,"Japan's most consistent coast in typhoon season: fun beach breaks, immaculate logistics, onsen recovery — and a swell lottery the consistency weight rightly punishes."
139,Scorpion Bay (San Juanico),Mexico,Mexico,Jun–Sep,61.9,C,yes,66.2,128,yes,71.5,37,yes,no,$,8,"Scorpion Bay Hotel operating (online booking, restaurant, rentals); trip remains a swell-chase expedition",70,78,trunks or springsuit,137,140,5.5,8.5,9,6.5,8,7,2.5,6,3.5,7.5,Fly to Loreto + 4-5h washboard drive,"On a real S-swell: multiple points connecting into minute-long rights, nearly empty. But it needs the swell and getting there is an expedition. Score is honest about the gamble."
140,Pavones,Costa Rica,Central America,Jun–Aug,61.2,C,no,65.0,131,yes,68.9,59,yes,no,$$,8,DIY; limited lodging,82,86,trunks,139,140,6.5,5,9,5,8.5,7.5,4,5.5,4.5,7.5,BOS→SJO + puddle-jumper + drive,One of the world's longest lefts when a proper S-swell lands — but it needs that swell. Boom-or-bust; remote; limited family lodging.
141,Skeleton Bay (Namibia),Namibia,Africa,Apr–Sep (on the storm),49.9,C,no,57.7,140,yes,65.8,87,no,no,$$$,5,Strike only: fly when the chart confirms; some years it never breaks,55,60,4/3 + booties + hood,141,141,3,5.5,10,1,10,6.5,3,6.5,2,6.5,BOS→JNB/FRA→WVB ~30h; go on the forecast,"The longest sand-bottom barrel on earth, breaking a handful of days a year off one specific storm track. Pure strike asset: worthless to book ahead (consistency 3), priceless when the chart lights up — visible ~5 days out, which is exactly enough."
